가공식품,인터리커 주식회사,프로세코 트레비소 DOC,CARPENE MALVOLTI PROSECCO DOC TREVISO BRUT,과실주,CARPENE MALVOLTI SPUMANTI S.P.A.,2023-08-31,-,이탈리아,이탈리아
가공식품,(주)스타엘앤비 (STAR L&amp;B),블라썸,BLASSOM,과실주,SORIA MATTEO,2023-08-31,-,이탈리아,이탈리아
가공식품,나라셀라 주식회사,샤또 무똥 로쉴드 20,CHATEAU MOUTON ROTHSCHILD,과실주,BARON PHILIPPE DE ROTHSCHILD S.A.,2023-08-31,2022-06-08 ~ ,프랑스,프랑스
가공식품,(주)비노쿠스,리취 피노 누아 비에이 비뉴,RIETSCH ALSACE VIEILLE VIGNE PINOT NOIR,과실주,EARL RIETSCH,2023-08-31,-,프랑스,프랑스
가공식품,(주)비노쿠스,리취 피노 누아,ALSACE PINOT NOIR,과실주,EARL RIETSCH,2023-08-31,-,프랑스,프랑스
가공식품,제이케이(JK) 인터내셔널,남후이 믹스프룻칩,NAM HUY MIXED FRUIT CHIPS,과자,"NAM HUY DONG THAP CO., LTD",2023-08-31,2023-08-14 ~ 2024-08-14,베트남,베트남
가공식품,비노파라다이스,폴리움 소비뇽 블랑,SAUVIGNON BLANC,과실주,FOLIUM VINEYARD LIMITED,2023-08-31,2023-01-18 ~ ,뉴질랜드,뉴질랜드
가공식품,(주)제원인터내쇼날,파에테포요틴,PAILLETE FEUILLETINE,과자,BARRY CALLEBAUT MANUFACTURING FRANCE,2023-08-31, ~ 2024-03-15,프랑스,벨기에
가공식품,(주)이마트,코코넛로쉐,COCONUT ROCHER,과자,WEST BIBICA ONE MEMBER COMPANY LIMITED,2023-08-31,2023-08-08 ~ 2024-08-07,베트남,베트남
가공식품,주식회사 위스트,글라사떼 페스튜리,GLASSATE GLAZED PUFF PASTRY,과자,BONOMI S.P.A.,2023-08-31,2023-05-17 ~ 2024-07-31,이탈리아,이탈리아
가공식품,주식회사 신세계엘앤비,시에라 칸따브리아 블랑코,SIERRA CANTABRIA (WHITE),과실주,"SIERRA CANTABRIA, S.A.",2023-08-31,-,스페인,스페인
가공식품,비노파라다이스,폴리움 소비뇽 블랑 리저브,SAUVIGNON BLANC RESERVE,과실주,FOLIUM VINEYARD LIMITED,2023-08-31,2021-12-01 ~ ,뉴질랜드,뉴질랜드
가공식품,비노파라다이스,폴리움 피노 누아,PINOT NOIR,과실주,FOLIUM VINEYARD LIMITED,2023-08-31,2017-03-31 ~ ,뉴질랜드,뉴질랜드
가공식품,주식회사 신세계엘앤비,시에라 칸따브리아 그란 리제르바,SIERRA CANTABRIA GRAN RESERVA,과실주,"SIERRA CANTABRIA, S.A.",2023-08-31,-,스페인,스페인
가공식품,주식회사 비노에이치,안톨리니 발폴리첼라 리파소 클라시코 수페리오레,ANTOLINI VALPOLICELLA RIPASSO CLASSICO SUPERIORE,과실주,ANTOLINI PIER PAOLO  E STEFANO SOCIETA AGRICOLA S.S.,2023-08-31,-,이탈리아,이탈리아
가공식품,롯데칠성음료(주),1847 나파 까베르네 소비뇽,1847 NAPA  CABERNET SAUVIGNON,과실주,BETTER BRANDS INTERNATIONAL DBA MICHAEL POZZAN WINERY,2023-08-31,2022-03-07 ~ ,미국,미국
가공식품,하이트진로(주),떼땅져 빈티지 브뤼 [1990],TAITTINGER BRUT MILLESIME,과실주,TAITTINGER CCVC,2023-08-31,-,프랑스,프랑스
가공식품,나라셀라 주식회사,샤또 슈발 블랑 20,CHATEAU CHEVAL BLANC,과실주,CHATEAU CHEVAL BLANC,2023-08-31,2022-07-07 ~ ,프랑스,프랑스
가공식품,하이트진로(주),떼땅져 꽁뜨 드 샹빠뉴 블랑드 블랑 브뤼 [1990],TAITTINGER COMTES DE CHAMPAGNE BLANC DE BLANCS,과실주,TAITTINGER CCVC,2023-08-31,-,프랑스,프랑스
가공식품,이멕스무역(주),뉴트리 5 시리얼 크리스프 오리지날,NUTRI 5 CEREAL CRISP ORIGINAL,과자,WIN WIN FOOD INDUSTRIES SDN BHD,2023-08-31, ~ 2024-08-18,말레이시아,말레이시아
가공식품,나라셀라 주식회사,샤또 디껨 20,CHATEAU D&#39;YQUEM,과실주,CHATEAU D&#39;YQUEM,2023-08-31,2022-08-24 ~ ,프랑스,프랑스
가공식품,나라셀라 주식회사,돈나푸가타 리게아,LIGHEA,과실주,DONNAFUGATA S.R.L.,2023-08-31,-,이탈리아,이탈리아
가공식품,나라셀라 주식회사,돈나푸가타 로사,DONNAFUGATA ROSA,과실주,DONNAFUGATA S.R.L.,2023-08-31,-,이탈리아,이탈리아
가공식품,주식회사 신세계엘앤비,뿌삐유,POUPILLE,과실주,SCEA VIGNOBLES JEAN MARIE CARRILLE,2023-08-31,2022-07-19 ~ ,프랑스,프랑스
가공식품,롯데칠성음료(주),산타 리타 트리플 C,SANTA RITA TRIPLE C,과실주,VINA SANTA RITA S.A,2023-08-31,-,칠레,칠레
가공식품,주식회사 신세계엘앤비,샤또 오 카디날,CHATEAU HAUT CARDINAL SAINT EMILION,과실주,SCEA VIGNOBLES JEAN MARIE CARRILLE,2023-08-31,2023-02-20 ~ ,프랑스,프랑스
가공식품,비노파라다이스,폴리움 피노 누아 리저브,PINOT NOIR RESERVE,과실주,FOLIUM VINEYARD LIMITED,2023-08-31,2023-03-21 ~ ,뉴질랜드,뉴질랜드
가공식품,주식회사 신세계엘앤비,샤또 몽페라 화이트 / 0652,CHATEAU MONT PERAT WHITE,과실주,CUMA DU TOUYRE,2023-08-31,-,프랑스,프랑스
가공식품,(주)비티스,꼬뜨 드 뉘 빌라지 꾀르 드 로슈,COTE DE NUIT VILLAGES &quot;COEUR DE ROCHES&quot;  (13%),과실주,SOCIETE FREDERIC MAGNIEN,2023-08-31,2022-04-28 ~ ,프랑스,프랑스
가공식품,한독와인(주),본느,BEAUNE,과실주,SCEA DU DOMAINE HENRI ET GILLES BUISSON,2023-08-31,2022-11-14 ~ ,프랑스,프랑스
가공식품,신동와인(주),꼬네따블 드 딸보(LC20C0D022),CONNETABLE TALBOT,과실주,CHATEAU TALBOT,2023-08-31,-,프랑스,프랑스
가공식품,나라셀라 주식회사,돈나푸가타 이졸라노,DONNAFUGATA ISOLANO ETNA BIANCO,과실주,DONNAFUGATA,2023-08-31,-,이탈리아,이탈리아
가공식품,주식회사 신세계엘앤비,샤또 쉬뒤로,CHATEAU SUDUIRAUT,과실주,CHATEAU SUDUIRAUT,2023-08-31,-,프랑스,프랑스
가공식품,한독와인(주),부르고뉴 루즈,BOURGOGNE (ROUGE),과실주,SCEA DU DOMAINE HENRI ET GILLES BUISSON,2023-08-31,2022-11-15 ~ ,프랑스,프랑스
가공식품,(주)크리스탈와인컬렉션,에곤 뮬러 샤르초프 리슬링,EGON MULLER SCHARZHOF RIESLING,과실주,EGON MULLER,2023-08-31,2022-02-16 ~ ,독일,프랑스
가공식품,나라셀라 주식회사,돈나푸가타 꾸오르디라바,DONNAFUGATA CUORDILAVA ETNA ROSSO,과실주,DONNAFUGATA,2023-08-31,-,이탈리아,이탈리아
가공식품,한독와인(주),쌩 로맹 쑤 라벨,SAINT ROMAIN SOUS LA VELLE,과실주,SCEA DU DOMAINE HENRI ET GILLES BUISSON,2023-08-31,2022-11-16 ~ ,프랑스,프랑스
가공식품,주식회사 신세계엘앤비,샤또 샤스 스플린,CHATEAU CHASSE SPLEEN,과실주,S.A. DU CHATEAU CHASSE SPLEEN,2023-08-31,-,프랑스,프랑스
